user_id,course_id,due,experience,hours,location,resp_time,datetime_utc
u15,span3,2,1,1,"41.49583437,-71.45812765",1365395363,2013-04-08 04:29:23+00:00
u15,cs65,2,1,2,"41.49583437,-71.45812765",1365395364,2013-04-08 04:29:24+00:00
u15,span3,2,1,1,"43.70384519,-72.28717248",1365444320,2013-04-08 18:05:20+00:00
u15,cs65,2,1,1,Unknown,1365488061,2013-04-09 06:14:21+00:00
u15,ears3,1,1,2,Unknown,1365488072,2013-04-09 06:14:32+00:00
u15,span3,2,1,1,"43.70423505,-72.29046602",1365530070,2013-04-09 17:54:30+00:00
u15,span3,1,1,2,"43.70578547,-72.28703541",1365617112,2013-04-10 18:05:12+00:00
u15,cs65,1,1,4,"43.70578547,-72.28703541",1365621066,2013-04-10 19:11:06+00:00
u15,span3,1,1,2,Unknown,1365791284,2013-04-12 18:28:04+00:00
u15,cs65,2,1,1,Unknown,1365793928,2013-04-12 19:12:08+00:00
u15,span3,2,1,1,"43.70808053,-72.28506786",1366049032,2013-04-15 18:03:52+00:00
u15,cs65,2,1,9,"43.7052318,-72.29189415",1366075660,2013-04-16 01:27:40+00:00
u15,ears3,1,1,3,"43.7052318,-72.29189415",1366075673,2013-04-16 01:27:53+00:00
u15,ears3,1,1,3,"43.70591041,-72.28826857",1366167559,2013-04-17 02:59:19+00:00
u15,span3,1,1,2,Unknown,1366397947,2013-04-19 18:59:07+00:00
u15,cs65,2,1,3,Unknown,1366397965,2013-04-19 18:59:25+00:00
u16,"CS65
",2,3,1,"43.70282146,-72.29016985",1364414674,2013-03-27 20:04:34+00:00
u16,CS 65,2,3,5,"43.70535842,-72.28724963",1364513447,2013-03-28 23:30:47+00:00
u16,cs 65,2,3,5,"43.70724486,-72.28721651",1364594488,2013-03-29 22:01:28+00:00
u16,cs 27,2,1,3,"43.70708361,-72.29096924",1364688045,2013-03-31 00:00:45+00:00
u16,cs 27,1,4,4,"43.70358976,-72.29054215",1364871890,2013-04-02 03:04:50+00:00
u16,CS 65,2,3,3,"43.70450379,-72.28884561",1365018236,2013-04-03 19:43:56+00:00
u16,CS65,2,3,4,"43.70393687,-72.29111144",1365112848,2013-04-04 22:00:48+00:00
u16,CS 65,2,3,4,Unknown,1365200447,2013-04-05 22:20:47+00:00
u16,CS65,1,3,6,"43.70411779,-72.28816375",1365455947,2013-04-08 21:19:07+00:00
u16,CS27,1,4,6,"43.70592306,-72.28973692",1365480080,2013-04-09 04:01:20+00:00
u16,CS65,2,3,3,"43.70474513,-72.28856577",1365644262,2013-04-11 01:37:42+00:00
u16,CS65,2,3,4,"43.70673215,-72.28793418",1365733738,2013-04-12 02:28:58+00:00
