user_id,level,location,resp_time,datetime_utc
u08,3,"43.70582719,-72.28937924",1364505508,2013-03-28 21:18:28+00:00
u08,3,"43.70582719,-72.28937924",1364508471,2013-03-28 22:07:51+00:00
u08,1,"43.70582719,-72.28937924",1364512329,2013-03-28 23:12:09+00:00
u08,1,"43.70582719,-72.28937924",1364515806,2013-03-29 00:10:06+00:00
u08,1,"43.70582719,-72.28937924",1364522043,2013-03-29 01:54:03+00:00
u08,2,"43.70350954,-72.28608081",1364578964,2013-03-29 17:42:44+00:00
u08,2,"43.70350954,-72.28608081",1364591073,2013-03-29 21:04:33+00:00
u08,1,"43.70350954,-72.28608081",1364675922,2013-03-30 20:38:42+00:00
u08,1,"43.70350954,-72.28608081",1364698381,2013-03-31 02:53:01+00:00
u08,3,"43.70316589,-72.2862713",1364780452,2013-04-01 01:40:52+00:00
u08,2,"43.70712705,-72.28700077",1364797586,2013-04-01 06:26:26+00:00
u08,1,"43.70326445,-72.28627025",1364808069,2013-04-01 09:21:09+00:00
u08,1,"43.70326445,-72.28627025",1364834980,2013-04-01 16:49:40+00:00
u08,1,"43.70536875,-72.29101233",1364848241,2013-04-01 20:30:41+00:00
u08,1,"43.70291844,-72.28747058",1364872663,2013-04-02 03:17:43+00:00
u08,1,"43.70237031,-72.28787598",1364947222,2013-04-03 00:00:22+00:00
u08,1,"43.70237031,-72.28787598",1364956304,2013-04-03 02:31:44+00:00
u08,1,"43.70237031,-72.28787598",1364971131,2013-04-03 06:38:51+00:00
u08,1,"43.70237031,-72.28787598",1365010642,2013-04-03 17:37:22+00:00
u08,1,"43.7052264,-72.28719803",1365034657,2013-04-04 00:17:37+00:00
u08,1,"43.7052264,-72.28719803",1365040564,2013-04-04 01:56:04+00:00
u08,1,"43.7052264,-72.28719803",1365054694,2013-04-04 05:51:34+00:00
u08,1,"43.7052264,-72.28719803",1365055214,2013-04-04 06:00:14+00:00
u08,1,"43.70301411,-72.28619057",1365104681,2013-04-04 19:44:41+00:00
u08,1,"43.70345019,-72.28639754",1365120005,2013-04-05 00:00:05+00:00
u08,3,"43.70342734,-72.28638739",1365185784,2013-04-05 18:16:24+00:00
u08,1,"43.70410077,-72.28719868",1365211921,2013-04-06 01:32:01+00:00
u08,1,Unknown,1365228620,2013-04-06 06:10:20+00:00
u08,1,"43.04906525,-71.72455068",1365298054,2013-04-07 01:27:34+00:00
